title_id,talent_id,order,category_id,job,role_names
tt0063562,nm0124417,10,8,\N,Regina
tt0063562,nm0004486,1,7,\N,Ulrich Braeker
tt0063562,nm0500505,2,7,\N,Markoni
tt0063562,nm0299802,3,7,\N,Itzenplitz
tt0063562,nm0527602,4,8,\N,Libussa
tt0063562,nm0936204,5,2,\N,\N
tt0063562,nm1279581,6,9,\N,\N
tt0063562,nm0453229,7,4,\N,\N
tt0063562,nm0005846,8,3,\N,\N
tt0063562,nm0954250,9,10,\N,\N
tt0194074,nm0636123,10,6,\N,\N
tt0194074,nm1889255,1,7,\N,Li Mai-tien
tt0194074,nm0155415,2,8,\N,An Chen-li
tt0194074,nm0509033,3,7,\N,Dr. Peter Briggs
tt0194074,nm1017514,4,8,\N,Ms. Clark
tt0194074,nm0514915,5,2,\N,\N
tt0194074,nm3770340,6,9,screenplay,\N
tt0194074,nm0161230,7,5,producer,\N
tt0194074,nm0012206,8,4,\N,\N
tt0194074,nm0611314,9,3,\N,\N
tt0259943,nm0203976,1,5,producer,\N
tt0324972,nm0595988,1,2,\N,\N
tt0324972,nm0119516,2,5,producer,\N
tt0324972,nm0464154,3,6,\N,\N
tt0389705,nm0756378,10,7,\N,(1987)
tt0389705,nm0025389,1,7,\N,(1987)
tt0389705,nm0080150,2,8,\N,(1987)
tt0389705,nm1184733,3,7,\N,(1987)
tt0389705,nm0318783,4,7,\N,(1987)
tt0389705,nm0474820,5,7,\N,(1987)
tt0389705,nm0007107,6,8,\N,\N
tt0389705,nm0613417,7,7,\N,(1987)
tt0389705,nm0961448,8,7,\N,(1987)
tt0389705,nm0665554,9,8,\N,\N
tt0453720,nm0913188,10,7,\N,\N
tt0453720,nm1868312,1,8,\N,\N
tt0453720,nm0074948,2,8,\N,\N
tt0453720,nm0136824,3,8,\N,\N
tt0453720,nm0530566,4,7,\N,\N
tt0453720,nm0356204,5,2,\N,\N
tt0453720,nm1881043,6,5,producer,\N
tt0453720,nm0189377,7,3,\N,\N
tt0453720,nm0005736,8,3,\N,\N
tt0453720,nm0739182,9,7,\N,\N
tt0518033,nm0242362,10,6,\N,\N
tt0518033,nm0017263,1,8,\N,Julie Saunders
tt0518033,nm0592576,2,8,\N,Julie Johnston
tt0518033,nm1116819,3,8,\N,Carol Byatt
tt0518033,nm0264198,4,8,\N,Denny Blood
tt0518033,nm0149498,5,9,series devised by,\N
tt0518033,nm1652146,6,9,series devised by,\N
tt0518033,nm0573121,7,9,series devised by,\N
tt0518033,nm0402016,8,4,\N,\N
tt0518033,nm0156185,9,3,director of photography,\N
tt0581410,nm0387071,1,7,\N,Ferris
tt0581410,nm0484736,2,8,\N,Addy
tt0581410,nm0186650,3,2,\N,\N
tt0644476,nm0330664,10,7,\N,Fred Bender
tt0644476,nm0446438,1,7,\N,Bart Maverick
tt0644476,nm0606998,2,7,\N,Pete Stillman
tt0644476,nm0058117,3,8,\N,Kitty Stillman
tt0644476,nm0445868,4,7,\N,Sheriff
tt0644476,nm0382227,5,2,\N,\N
tt0644476,nm0400403,6,5,producer,\N
tt0644476,nm0005885,7,3,\N,\N
tt0644476,nm0391136,8,6,\N,\N
tt0644476,nm0241009,9,8,\N,Raquel Morales
tt0707661,nm0276204,10,7,\N,Ivan Carlisle
tt0707661,nm0061362,1,8,\N,Natalia Carlisle
tt0707661,nm0128032,2,7,\N,Dmitri Carlisle
tt0707661,nm0150299,3,8,\N,Taylor Jones
tt0707661,nm0248461,4,8,\N,Cherish Pardee
tt0707661,nm0109586,5,2,\N,\N
tt0707661,nm0013928,6,9,\N,\N
tt0707661,nm0488484,7,9,\N,\N
tt0707661,nm0572295,8,9,\N,\N
tt0707661,nm0839917,9,9,\N,\N
tt0771325,nm2099110,1,8,\N,Silvía Nótt
tt0835626,nm1365217,10,8,\N,Mercedita Bolivar
tt0835626,nm1518634,1,8,\N,Diana Bullock
tt0835626,nm0305132,2,7,\N,Ben Silver
tt0835626,nm0303599,3,8,\N,Vegas Locomotiv
tt0835626,nm0723142,4,7,\N,Patrick Gogol
tt0835626,nm1150011,5,4,\N,\N
tt0835626,nm1595632,6,7,\N,Neon Bullock
tt0835626,nm0596925,7,7,\N,Jesse James - Denaide
tt0835626,nm0581960,8,7,\N,Billy the Kid - Henaide
tt0835626,nm0285071,9,7,\N,Jeff Wall Street
tt0900065,nm0671249,10,8,\N,Elsie Tsa Che
tt0900065,nm0063782,1,7,\N,Eric Olsen
tt0900065,nm0444796,2,8,\N,Michelle Kenidi
tt0900065,nm0177323,3,8,\N,Sarah Birkett
tt0900065,nm0414103,4,7,\N,Peter Kenidi
tt0900065,nm0768939,5,2,\N,\N
tt0900065,nm0491613,6,9,writer,\N
tt0900065,nm0565527,7,4,\N,\N
tt0900065,nm0396643,8,7,\N,Trevor 'Teevee' Tenia
tt0900065,nm0916448,9,7,\N,Harris Miller
tt0964521,nm2548787,1,2,\N,\N
tt0964521,nm2552324,2,5,producer,\N
tt0964521,nm1376169,3,3,\N,\N
tt0964521,nm2550752,4,3,\N,\N
tt1004963,nm0524423,10,9,writer,\N
tt1004963,nm1678514,1,7,\N,Rodolfo Damião (Rodas)
tt1004963,nm1513039,2,7,\N,Ricardo Moura Bastos
tt1004963,nm1679543,3,8,\N,Lara Queirós
tt1004963,nm0138493,4,8,\N,Madalena Soares
tt1004963,nm0637956,5,2,\N,\N
tt1004963,nm0136649,6,2,\N,\N
tt1004963,nm0627347,7,2,\N,\N
tt1004963,nm0723330,8,2,\N,\N
tt1004963,nm2056369,9,9,writer,\N
tt10158780,nm8951335,1,7,\N,Jeeva
tt10158780,nm8861069,2,7,\N,Kavya
tt10158780,nm6307282,3,2,\N,\N
tt10158780,nm9953276,4,9,\N,\N
tt10158780,nm9953277,5,5,producer,\N
tt10158780,nm4071458,6,3,\N,\N
tt10158780,nm10585769,7,6,\N,\N
tt10158780,nm5732714,8,6,\N,\N
tt10267854,nm2194656,1,9,Executive Story Editor,\N
tt10377176,nm0609391,1,7,\N,Carlos Alberto Franco
tt10377176,nm0525123,2,8,\N,Ana Maria Franco
tt10377176,nm1568433,3,2,\N,\N
tt10377176,nm0721405,4,2,\N,\N
tt10377176,nm0757739,5,2,\N,\N
tt10377176,nm3064446,6,9,\N,\N
tt10377176,nm3052538,7,9,libretto,\N
tt10377176,nm1862855,8,3,\N,\N
tt10486284,nm0439987,10,9,creator,\N
tt10486284,nm0001983,1,7,\N,Judge Judson Tyler
tt10486284,nm0001198,2,8,\N,Sloane Denning Clegg Mamoud
tt10486284,nm0427700,3,8,\N,Myrna Clegg
tt10486284,nm0869927,4,8,\N,Clarissa McCandless
tt10486284,nm0001904,5,2,\N,\N
tt10486284,nm0179189,6,2,\N,\N
tt10486284,nm1707653,7,9,\N,\N
tt10486284,nm1085627,8,9,\N,\N
tt10486284,nm0439984,9,9,creator,\N
tt10703584,nm2285394,1,2,\N,\N
tt10703584,nm1268039,2,9,writer,\N
tt10703584,nm1417692,3,9,writer,\N
tt10703584,nm1829601,4,5,producer,\N
tt10703584,nm0865001,5,5,producer,\N
tt10811410,nm8855002,1,7,\N,Pan Pizza
tt10919510,nm1583307,1,7,\N,Narrator
tt10919510,nm5565513,2,1,\N,Himself
tt10919510,nm0777749,3,1,\N,Himself
tt10919510,nm0241169,4,1,\N,Himself
tt10919510,nm10963190,5,2,\N,\N
tt10919510,nm10963200,6,4,\N,\N
tt10919510,nm10963201,7,4,\N,\N
tt11027392,nm1764614,10,6,\N,\N
tt11027392,nm1960210,1,1,\N,Himself - Host
tt11027392,nm10764922,2,1,\N,"Himself - Ofc., Salinas CA Police Department"
tt11027392,nm10486538,3,1,\N,"Himself - Ofc., Salinas CA Police Department"
tt11027392,nm11005797,4,1,\N,"Herself - Ofc., Tulsa OK Police Department"
tt11027392,nm1936500,5,2,\N,\N
tt11027392,nm0193916,6,5,producer,\N
tt11027392,nm0132846,7,6,\N,\N
tt11027392,nm2682771,8,6,\N,\N
tt11027392,nm0295192,9,6,\N,\N
tt1123919,nm2805780,1,8,\N,\N
tt1123919,nm2809546,2,8,\N,\N
tt1123919,nm2448669,3,2,\N,\N
tt1189040,nm0559320,1,2,\N,\N
tt1189040,nm1070544,2,3,\N,\N
tt1189040,nm0819993,3,6,\N,\N
tt1254222,nm3059941,1,8,\N,Miss Irma
tt1254222,nm2032894,2,7,\N,Löwenhjelm
tt1254222,nm0653149,3,8,\N,Anna
tt1254222,nm1437421,4,7,\N,Premiärlöjtnant Falk
tt1254222,nm0919469,5,2,\N,\N
tt1254222,nm3059600,6,7,\N,Löjtnant Skade
tt1254222,nm1159832,7,7,\N,Marius
tt1319543,nm0832825,1,1,\N,Himself - Host
tt1319543,nm0034518,2,4,\N,\N
tt1384481,nm1616462,10,7,\N,Roi Barreiro
tt1384481,nm0152041,1,7,\N,Miro Pereira
tt1384481,nm0729345,2,8,\N,Balbina Santos
tt1384481,nm0544427,3,8,\N,Señora Carmen
tt1384481,nm0100517,4,8,\N,Charo
tt1384481,nm1618142,5,2,\N,\N
tt1384481,nm1597645,6,9,idea,\N
tt1384481,nm3855794,7,5,producer,\N
tt1384481,nm3870140,8,6,\N,\N
tt1384481,nm1398931,9,7,\N,Tuto
tt1448965,nm0519966,10,8,\N,Abigail
tt1448965,nm1845188,1,8,\N,Lívia
tt1448965,nm0135629,2,7,\N,Adriano
tt1448965,nm0289611,3,7,\N,Diego
tt1448965,nm0673204,4,7,\N,João
tt1448965,nm1117910,5,8,\N,Celeste
tt1448965,nm0146835,6,8,\N,Maralanis
tt1448965,nm1284907,7,8,\N,Antonella
tt1448965,nm0103826,8,8,\N,Denise
tt1448965,nm0536510,9,7,\N,Mauro
tt1513535,nm2613972,10,4,\N,\N
tt1513535,nm0584612,1,7,\N,\N
tt1513535,nm0608309,2,7,\N,\N
tt1513535,nm0442672,3,8,\N,\N
tt1513535,nm0015806,4,7,\N,\N
tt1513535,nm0442671,5,2,\N,\N
tt1513535,nm3613889,6,2,co-director,\N
tt1513535,nm8471881,7,2,co-director,\N
tt1513535,nm1455221,8,9,writer,\N
tt1513535,nm3164313,9,9,novel,\N
tt1578322,nm2076851,1,1,\N,"Herself,Host"
tt1578322,nm2555059,2,1,\N,"Herself,Journalist"
tt1578322,nm1764149,3,1,\N,"Herself,Journalist"
tt1578322,nm1851954,4,1,\N,Herself
tt1578322,nm2591361,5,1,\N,"Herself,Journalist"
tt1578322,nm1208052,6,1,\N,Himself
tt1578322,nm2406704,7,1,\N,Herself
tt1578322,nm2555070,8,1,\N,"Herself,Journalist"
tt1642858,nm0804026,1,1,\N,"Himself - Host,Freddie the Freeloader"
tt1642858,nm2582914,2,1,\N,Themselves
tt1642858,nm0483617,3,7,\N,Announcer
tt1642858,nm0076971,4,2,\N,\N
tt1707386,nm0401076,10,9,based on the novel by,\N
tt1707386,nm0413168,1,7,\N,Jean Valjean
tt1707386,nm0000128,2,7,\N,Javert
tt1707386,nm0004266,3,8,\N,Fantine
tt1707386,nm1086543,4,8,\N,Cosette
tt1707386,nm0393799,5,2,\N,\N
tt1707386,nm0629933,6,9,screenplay by,\N
tt1707386,nm0098842,7,9,screenplay by,\N
tt1707386,nm0774744,8,9,screenplay by,\N
tt1707386,nm0471014,9,9,screenplay by,\N
tt1773067,nm1668320,10,3,\N,\N
tt1773067,nm0000670,1,8,\N,Lily MacDougal
tt1773067,nm0104526,2,7,\N,Conor MacDougal
tt1773067,nm2525790,3,8,\N,Sydney
tt1773067,nm4344861,4,8,\N,Bailey
tt1773067,nm0872062,5,2,\N,\N
tt1773067,nm0326211,6,9,teleplay,\N
tt1773067,nm0695446,7,9,story,\N
tt1773067,nm0635879,8,5,producer,\N
tt1773067,nm1037342,9,4,\N,\N
tt1838735,nm1268177,10,6,\N,\N
tt1838735,nm0110433,1,8,\N,Barbara
tt1838735,nm2765134,2,8,\N,Zoe
tt1838735,nm0184392,3,7,\N,Grizz
tt1838735,nm0512560,4,8,\N,Katie
tt1838735,nm0005401,5,2,\N,\N
tt1838735,nm1720728,6,9,co-writer,\N
tt1838735,nm0003205,7,5,producer,\N
tt1838735,nm1482025,8,5,producer,\N
tt1838735,nm2836844,9,4,\N,\N
tt1903289,nm2635510,10,9,head writer,\N
tt1903289,nm4290284,1,8,\N,Mutya
tt1903289,nm1368756,2,7,\N,Prinsipe Irvin
tt1903289,nm2319997,3,8,\N,Cordella Sardenas
tt1903289,nm0025886,4,8,\N,Madam Delilah Sardenas
tt1903289,nm1391467,5,2,\N,\N
tt1903289,nm2155730,6,2,\N,\N
tt1903289,nm2462923,7,9,writer,\N
tt1903289,nm4079981,8,9,writer,\N
tt1903289,nm4027065,9,9,writer,\N
tt1968111,nm0135177,1,1,\N,Himself - Host
tt1968111,nm0273504,2,1,\N,"Himself - Host,Various Characters"
tt1968111,nm0959435,3,7,\N,"Interviewer,El Dioni,Paco Porras"
tt1968111,nm0215665,4,1,\N,Herself - Interviewer
tt2032551,nm4577388,1,7,\N,The Boss
tt2032551,nm4669090,2,7,\N,Serenader
tt2032551,nm4669023,3,7,\N,Agent Aigo
tt2032551,nm4668751,4,7,\N,Helpless VIctim
tt2032551,nm4250845,5,2,\N,\N
tt2032551,nm4576614,6,8,\N,The Kimchi Bandit
tt2032551,nm4577356,7,7,\N,Agent Assah
tt2032551,nm4577278,8,7,\N,"The Ajumma,Another Victime of the Bandit's Rage"
tt2164424,nm0887440,10,10,\N,\N
tt2164424,nm0226623,1,7,\N,Roger Sterckx
tt2164424,nm0893655,2,7,\N,Armand De La Ruelle
tt2164424,nm2058024,3,7,\N,Luc Auwerckx
tt2164424,nm5045389,4,7,\N,Lennon
tt2164424,nm1573573,5,2,\N,\N
tt2164424,nm0210916,6,9,scenario,\N
tt2164424,nm5045165,7,5,producer,\N
tt2164424,nm0892180,8,3,director of photography,\N
tt2164424,nm0112842,9,6,\N,\N
tt2235751,nm2600617,10,10,\N,\N
tt2235751,nm0890548,1,7,\N,Ignat
tt2235751,nm4242784,2,7,\N,Artyom
tt2235751,nm2463374,3,7,\N,Sergeant
tt2235751,nm3057016,4,8,\N,Ignat's Wife
tt2235751,nm2462311,5,2,\N,\N
tt2235751,nm0526732,6,5,producer,\N
tt2235751,nm2305072,7,4,\N,\N
tt2235751,nm1212845,8,3,\N,\N
tt2235751,nm0473685,9,6,\N,\N
tt2305737,nm4748429,1,1,\N,Herself - nyheterna
